amount,text,count_adults,count_children,start_date,nights,price_per_day,remarks,true_count_adults,true_count_children,true_start_date,true_nights,true_price_per_day
2,"Снимем жильё с 1.09по 8.09 двухместный,су в номере ,олимпийская деревня или рядом ,предложения в лс.",2,0,01.09,8,,"Олимпийская деревня или рядом, санузел в номере",2,0,01.09,7.0,
6,"Ищем недорогое жилье недалеко от моря. 3-местный и 2-местный эконом. 3 взрослых и 3 детей (2,9,11 лет). Строго с 20 по 30 июля",3,3,20.07,10,,"недалеко от моря, 3-местный и 2-местный эконом",3,3,20.07,10.0,
2,"Здравствуйте,ищем жилье. 2х местный номер,с удобствами. с 17.07 по 27.07.",2,0,17.07,10,,рядом с морем,2,0,17.07,10.0,
3,Здравствуйте. Интересует жилье 3 местный номер.с20 .06 по 28.06 не далеко от моря.,2,1,20.06,8,,рядом с морем,3,0,20.06,8.0,
4,"Добрый День!! Семья 4 человека, 2 взрослых, дети 10 и 3 года, ищем жилье, можно 3-х местный с доп.местом. С 1 июля поближе к морю и не дорого
😉",2,1,01.07,8,,"близко к морю, не дорого",2,2,01.07,,
3,"Здравствуйте. Интересует жильё в Лазаревском. 3е взрослых.
Со своим сан узлом и желательно с балконом. Не больше 10мин до моря.
По приемлемым ценам.
С 4 августа дней на 7-10",3,0,04.08,10,,"санузел, балкон, рядом с морем",3,0,04.08,10.0,
2,"Ищем жильё эконом класса, до 1000 на двоих, с 7 по 15 августа, недалеко от моря. Писать в личку",2,1,07.08,9,1000.0,рядом с морем,2,0,07.08,8.0,1000.0
3,Добрый день. Ищем жильё в Лазаревском. С 10.08.2018 по 26.08.2018. Два взрослых и ребенок 10 лет.,2,1,10.08.2018,16,,рядом с морем,2,1,10.08.2018,16.0,
3,Здравствуйте! Ищем жильё с 15  по 23 августа 2 взрослых 1 ребёнок 6 лет. И сколько будет по цене?,2,1,15.08,8,,рядом с морем,2,1,15.08,8.0,
5,Добрый день интересует жилье семья 5 человек двое взрослых и трое детей с 20 по 30 сентября на берегу моря цена пожайлуста в личку,2,3,20.09,10,,рядом с морем,2,3,20.09,10.0,
2,"здравствуйте. с 24 июля по 1 августа ищем жилье для 2-х взрослых эконом. стоимость подскажите, пожалуйста?",2,0,24.07,14,,эконом,2,0,24.07,8.0,
4,"Здравствуйте, интересует жилье п.Лазаревское 2 взр + 2 реб. 6 и 8 лет с 08.08 по 21.08? Недорого! Рядом с морем!",2,2,08.08,13,,рядом с морем,2,2,08.08,13.0,
4,"Доброе время суток) Ищем жильё- эконом, с  8 июля по 14 июля , 2 взрослых и 2 детей ( 8 и 13 лет), в шаговой доступности от моря, рядом магазины, окраины не предлагать!! Желательно с бассейном.",2,2,08.07,7,,"эконом, рядом с морем, рядом магазины, с бассейном",2,2,08.07,6.0,
1,"Интересует жильё-эконом, кондиционер только чтобы был, цена с человека? Рядом с морем, +- 5-10 минут ходьбы, с 10 по 20 июля примерно! Будет только женщина. Спасибо)",2,1,10.07,11,,"жильё-эконом, кондиционер, рядом с морем",1,0,10.07,10.0,
4,"Здравствуйте,  ищем жилье с женой в Лазеревском, 2 детей 11 и 4лет, на 29.06.19, под ключ",2,2,29.06.19,1,,"под ключ, рядом с морем",2,2,29.06.2019,,
